"year_rect","species","n_recs","min_start","max_start","earliest_end","latest_end","mean_start","mean_end","median_start","median_end","range_start","range_end"
1966,"Rubus laciniatus",2,174,174,174,174,174,174,174,174,0,0
1966,"Rubus spectabilis",2,94,95,94,128,94.5,111,94.5,111,1,34
1967,"Acer platanoides",1,81,81,111,111,81,111,81,111,0,0
1967,"Acer rubrum",2,83,96,83,158,89.5,120.5,89.5,120.5,13,75
1967,"Ilex decidua",3,94,106,103,110,101,106.333333333333,103,106,12,7
1967,"Juglans nigra",2,117,123,117,238,120,177.5,120,177.5,6,121
1967,"Rubus laciniatus",1,222,222,222,222,222,222,222,222,0,0
1967,"Rubus spectabilis",2,99,105,105,128,102,116.5,102,116.5,6,23
1968,"Acer platanoides",1,107,107,136,136,107,136,107,136,0,0
1968,"Acer rubrum",2,34,107,107,107,70.5,107,70.5,107,73,0
1968,"Juglans nigra",1,114,114,147,147,114,147,114,147,0,0
1968,"Rubus laciniatus",1,195,195,195,195,195,195,195,195,0,0
1968,"Rubus spectabilis",3,63,97,88,214,82.6666666666667,133,88,97,34,126
1969,"Acer platanoides",1,112,112,205,205,112,205,112,205,0,0
1969,"Acer rubrum",2,51,132,112,202,91.5,157,91.5,157,81,90
1969,"Ilex decidua",1,103,103,103,103,103,103,103,103,0,0
1969,"Juglans nigra",1,103,103,146,146,103,146,103,146,0,0
1969,"Rubus spectabilis",1,165,165,165,165,165,165,165,165,0,0
1970,"Acer platanoides",1,99,99,121,121,99,121,99,121,0,0
1970,"Acer rubrum",1,70,70,120,120,70,120,70,120,0,0
1970,"Ilex decidua",1,82,82,93,93,82,93,82,93,0,0
1970,"Juglans nigra",2,136,147,136,147,141.5,141.5,141.5,141.5,11,11
1970,"Rubus laciniatus",1,144,144,167,167,144,167,144,167,0,0
1970,"Rubus spectabilis",1,52,52,95,95,52,95,52,95,0,0
1971,"Acer platanoides",1,135,135,135,135,135,135,135,135,0,0
1971,"Acer rubrum",2,38,72,94,123,55,108.5,55,108.5,34,29
1971,"Ilex decidua",1,133,133,137,137,133,137,133,137,0,0
1971,"Juglans nigra",1,122,122,187,187,122,187,122,187,0,0
1971,"Rubus laciniatus",2,173,173,173,185,173,179,173,179,0,12
1971,"Rubus spectabilis",2,96,150,151,180,123,165.5,123,165.5,54,29
1972,"Acer platanoides",1,111,111,119,119,111,119,111,119,0,0
1972,"Acer rubrum",1,58,58,133,133,58,133,58,133,0,0
1972,"Ilex decidua",2,95,127,95,131,111,113,111,113,32,36
1972,"Juglans nigra",1,99,99,99,99,99,99,99,99,0,0
1972,"Rubus spectabilis",2,72,89,89,155,80.5,122,80.5,122,17,66
1973,"Acer platanoides",1,122,122,122,122,122,122,122,122,0,0
1973,"Acer rubrum",6,8,111,8,112,58,75.3333333333333,60.5,80.5,103,104
1973,"Ilex decidua",1,71,71,71,71,71,71,71,71,0,0
1973,"Juglans nigra",1,79,79,140,140,79,140,79,140,0,0
1973,"Rubus laciniatus",2,178,178,178,200,178,189,178,189,0,22
1973,"Rubus spectabilis",3,86,187,86,342,120,205,87,187,101,256
1974,"Acer platanoides",1,95,95,112,112,95,112,95,112,0,0
1974,"Acer rubrum",2,54,73,73,285,63.5,179,63.5,179,19,212
1974,"Rubus laciniatus",2,169,169,199,201,169,200,169,200,0,2
1974,"Rubus spectabilis",2,76,77,142,236,76.5,189,76.5,189,1,94
1975,"Acer platanoides",1,61,61,144,144,61,144,61,144,0,0
1975,"Acer rubrum",2,32,110,110,129,71,119.5,71,119.5,78,19
1975,"Ilex decidua",2,103,292,159,292,197.5,225.5,197.5,225.5,189,133
1975,"Juglans nigra",1,139,139,149,149,139,149,139,149,0,0
1975,"Rubus laciniatus",1,187,187,187,187,187,187,187,187,0,0
1975,"Rubus spectabilis",2,100,131,131,189,115.5,160,115.5,160,31,58
1976,"Acer platanoides",1,101,101,101,101,101,101,101,101,0,0
1976,"Acer rubrum",2,45,45,45,100,45,72.5,45,72.5,0,55
1976,"Ilex decidua",1,75,75,96,96,75,96,75,96,0,0
1976,"Juglans nigra",1,121,121,143,143,121,143,121,143,0,0
1976,"Rubus laciniatus",2,155,169,169,169,162,169,162,169,14,0
1976,"Rubus spectabilis",1,82,82,152,152,82,152,82,152,0,0
1977,"Acer platanoides",1,89,89,108,108,89,108,89,108,0,0
1977,"Acer rubrum",2,57,73,73,122,65,97.5,65,97.5,16,49
1977,"Ilex decidua",3,78,120,99,120,99,108,99,105,42,21
1977,"Juglans nigra",2,102,148,148,149,125,148.5,125,148.5,46,1
1977,"Rubus laciniatus",1,158,158,202,202,158,202,158,202,0,0
1977,"Rubus spectabilis",4,95,158,95,173,122.5,141.75,118.5,149.5,63,78
1978,"Acer platanoides",1,99,99,144,144,99,144,99,144,0,0
1978,"Acer rubrum",5,72,269,87,269,139.8,151.2,128,129,197,182
1978,"Ilex decidua",1,130,130,130,130,130,130,130,130,0,0
1978,"Rubus spectabilis",1,84,84,125,125,84,125,84,125,0,0
1979,"Acer platanoides",1,101,101,101,101,101,101,101,101,0,0
1979,"Acer rubrum",1,61,61,293,293,61,293,61,293,0,0
1979,"Ilex decidua",1,248,248,248,248,248,248,248,248,0,0
1979,"Juglans nigra",2,149,150,149,178,149.5,163.5,149.5,163.5,1,29
1979,"Rubus laciniatus",1,180,180,180,180,180,180,180,180,0,0
1979,"Rubus spectabilis",1,66,66,120,120,66,120,66,120,0,0
1980,"Acer platanoides",1,109,109,141,141,109,141,109,141,0,0
1980,"Acer rubrum",1,75,75,129,129,75,129,75,129,0,0
1980,"Ilex decidua",1,106,106,135,135,106,135,106,135,0,0
1980,"Juglans nigra",2,135,147,147,147,141,147,141,147,12,0
1980,"Rubus laciniatus",1,206,206,206,206,206,206,206,206,0,0
1980,"Rubus spectabilis",1,120,120,120,120,120,120,120,120,0,0
1981,"Acer platanoides",1,106,106,117,117,106,117,106,117,0,0
1981,"Acer rubrum",2,27,99,107,108,63,107.5,63,107.5,72,1
1981,"Ilex decidua",2,84,127,99,127,105.5,113,105.5,113,43,28
1981,"Juglans nigra",1,121,121,125,125,121,125,121,125,0,0
1981,"Rubus spectabilis",2,100,103,103,123,101.5,113,101.5,113,3,20
1982,"Acer platanoides",1,109,109,113,113,109,113,109,113,0,0
1982,"Acer rubrum",2,27,38,38,122,32.5,80,32.5,80,11,84
1982,"Ilex decidua",1,82,82,85,85,82,85,82,85,0,0
1982,"Juglans nigra",1,123,123,123,123,123,123,123,123,0,0
1982,"Rubus laciniatus",2,174,217,174,217,195.5,195.5,195.5,195.5,43,43
1982,"Rubus spectabilis",2,96,183,183,192,139.5,187.5,139.5,187.5,87,9
1983,"Acer platanoides",1,108,108,123,123,108,123,108,123,0,0
